Estudiante,Región,Nivel,Grado,Institución Educativa,Ambito,Sexo,R Producción de textos,Año,ANALISIS,PADD-R,ID IE,ID2,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Año.1,#
28,72. Ucayali,Primaria,6 Primaria,64871-B,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,64871-B Santa Martha,64871-B6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
29,72. Ucayali,Primaria,6 Primaria,64871-B,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,64871-B Santa Martha,64871-B6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
1,72. Ucayali,Primaria,2 Primaria,64028,Rural,Masculino,Inicio,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640282 Primaria,,,,,,,,,,,,,,,,,,,,,,,
2,72. Ucayali,Primaria,2 Primaria,64028,Rural,Femenino,Inicio,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640282 Primaria,,,,,,,,,,,,,,,,,,,,,,,
3,72. Ucayali,Primaria,2 Primaria,64028,Rural,Femenino,Inicio,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640282 Primaria,,,,,,,,,,,,,,,,,,,,,,,
4,72. Ucayali,Primaria,4 Primaria,64028,Rural,Masculino,Inicio,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640284 Primaria,,,,,,,,,,,,,,,,,,,,,,,
5,72. Ucayali,Primaria,4 Primaria,64028,Rural,Masculino,Inicio,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640284 Primaria,,,,,,,,,,,,,,,,,,,,,,,
6,72. Ucayali,Primaria,4 Primaria,64028,Rural,Femenino,Proceso,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640284 Primaria,,,,,,,,,,,,,,,,,,,,,,,
7,72. Ucayali,Primaria,4 Primaria,64028,Rural,Femenino,Proceso,2024,LOS 3 AÑOS,PADD 2023 Y 2024,64028 Mazaray,640284 Primaria,,,,,,,,,,,,,,,,,,,,,,,
8,72. Ucayali,Primaria,6 Primaria,64028,Rural,Masculino,Proceso,2024,SOLO 2022 Y 2024,PADD 2023 Y 2024,64028 Mazaray,640286 Primaria,,,,,,,,,,,,,,,,,,,,,,,
9,72. Ucayali,Primaria,6 Primaria,64028,Rural,Masculino,Proceso,2024,SOLO 2022 Y 2024,PADD 2023 Y 2024,64028 Mazaray,640286 Primaria,,,,,,,,,,,,,,,,,,,,,,,
10,72. Ucayali,Primaria,6 Primaria,64028,Rural,Femenino,Proceso,2024,SOLO 2022 Y 2024,PADD 2023 Y 2024,64028 Mazaray,640286 Primaria,,,,,,,,,,,,,,,,,,,,,,,
11,72. Ucayali,Primaria,6 Primaria,64028,Rural,Femenino,Inicio,2024,SOLO 2022 Y 2024,PADD 2023 Y 2024,64028 Mazaray,640286 Primaria,,,,,,,,,,,,,,,,,,,,,,,
1,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
5,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
6,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
7,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
8,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
9,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
10,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
11,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
12,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
13,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
14,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
15,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
16,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
17,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
18,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
19,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
20,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
21,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
22,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
23,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
24,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
25,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
26,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
27,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
28,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
29,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
30,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
31,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
32,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
33,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
34,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
36,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
37,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
38,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
39,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
40,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
41,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
42,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
43,79. Huancavelica,Secundaria,2 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA2 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
1,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
2,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
3,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
4,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
5,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
6,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
7,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
8,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
9,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
10,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
13,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
14,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
17,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
18,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
20,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
21,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
23,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
24,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
26,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
27,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
28,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
32,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
33,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
34,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
37,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
38,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
39,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
40,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
41,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
42,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
43,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
45,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
46,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
47,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
49,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
50,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
51,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
52,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Masculino,Proceso,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
54,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
57,79. Huancavelica,Secundaria,4 Secundaria,NUESTRA SEÑORA DE LA CANDELARIA,Rural,Femenino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,Nuestra Sra Candelaria,NUESTRA SEÑORA DE LA CANDELARIA4 Secundaria,,,,,,,,,,,,,,,,,,,,,,,
